Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5%,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,Latitude,Longitude,Month_Year
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2024,13:08,Cash,522.83,4.761904762,26.1415,9.1,16.871311,96.174444,01-2024
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2024,10:29,Cash,76.4,5,3.82,9.6,19.076189,96.142049,03-2024
631-41-3108,A,Yangon,Normal,Male,Sports and travel,46.33,7,16.2155,340.5255,1/12/2024,14:37,Credit card,324.31,5,16.2155,8.4,16.863763,96.19525,01-2024
123-19-1176,A,Yangon,Member,Male,Home and lifestyle,58.22,8,23.288,489.048,2/20/2024,13:27,Cash,465.76,5,23.288,5.3,16.867097,96.16355,02-2024
373-73-7910,A,Yangon,Normal,Male,Health and beauty,36.26,2,3.626,76.146,2/6/2024,18:07,Ewallet,72.52,5,3.626,7.1,16.8669,96.150139,02-2024
699-14-3026,C,Naypyitaw,Normal,Male,Home and lifestyle,71.38,10,35.69,749.49,3/15/2024,17:16,Credit card,713.8,5,35.69,8.2,19.072894,96.100504,03-2024
355-53-5943,A,Yangon,Member,Female,Health and beauty,62.82,2,6.282,131.922,2/18/2024,14:36,Ewallet,125.64,5,6.282,5.7,16.863614,96.104265,02-2024
315-22-5665,C,Naypyitaw,Normal,Female,Fashion accessories,45.04,6,13.512,283.752,3/21/2024,18:00,Cash,270.24,5,13.512,9.1,19.078833,96.157848,03-2024
665-32-9167,A,Yangon,Member,Male,Food and beverages,98.98,4,19.796,415.716,1/10/2024,11:15,Ewallet,395.92,5,19.796,6.6,16.872021,96.168065,01-2024
692-92-5582,B,Mandalay,Member,Female,Fashion accessories,25.51,4,5.102,107.142,2/6/2024,18:00,Ewallet,102.04,5,5.102,4.4,21.968092,96.088759,02-2024
233-67-5758,C,Naypyitaw,Normal,Male,Sports and travel,93.72,6,28.116,590.436,3/22/2024,15:22,Cash,562.32,5,28.116,6.8,19.07275,96.120014,03-2024
303-96-2227,B,Mandalay,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2/10/2024,17:15,Ewallet,413.04,5,20.652,8.2,21.970638,96.079142,02-2024
765-26-6951,B,Mandalay,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2/13/2024,13:27,Credit card,164.52,5,8.226,7.6,21.96328,96.083444,02-2024
329-62-1586,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/29/2024,19:38,Cash,80.6,5,4.03,8.5,21.969991,96.099072,03-2024
319-50-3348,A,Yangon,Member,Female,Fashion accessories,65.82,7,23.036,483.756,1/15/2024,16:19,Credit card,460.72,5,23.036,6,16.86515,96.191096,01-2024
371-85-5789,C,Naypyitaw,Member,Male,Health and beauty,74.15,3,11.1225,233.5725,3/5/2024,10:40,Cash,222.45,5,11.1225,8.9,19.066879,96.115449,03-2024
273-16-6619,B,Mandalay,Normal,Male,Electronic accessories,15.17,10,7.585,159.285,2/8/2024,15:31,Credit card,151.7,5,7.585,5.5,21.971357,96.08834,02-2024
649-29-6775,B,Mandalay,Member,Female,Sports and travel,10.98,7,3.843,80.703,3/25/2024,18:30,Ewallet,76.86,5,3.843,6.2,21.964815,96.097796,03-2024
145-94-9061,B,Mandalay,Normal,Male,Food and beverages,36.23,3,5.4345,114.1245,1/25/2024,19:09,Cash,108.69,5,5.4345,4.5,21.964948,96.083072,01-2024
871-79-8483,A,Yangon,Normal,Female,Home and lifestyle,60.95,6,18.285,383.985,2/24/2024,18:10,Ewallet,365.7,5,18.285,4.4,16.866146,96.163857,02-2024
534-71-4391,B,Mandalay,Member,Female,Electronic accessories,85.39,4,17.078,358.638,1/21/2024,18:00,Credit card,341.56,5,17.078,6.1,21.970638,96.079142,01-2024
432-48-8869,C,Naypyitaw,Normal,Male,Food and beverages,31.84,10,15.92,334.32,3/10/2024,11:32,Ewallet,318.4,5,15.92,7.5,19.07275,96.120014,03-2024
772-41-6578,A,Yangon,Normal,Female,Home and lifestyle,43.19,2,4.319,90.699,2/16/2024,15:53,Cash,86.38,5,4.319,8.8,16.86515,96.191096,02-2024
829-34-3910,B,Mandalay,Normal,Male,Health and beauty,98.44,6,29.532,620.172,3/29/2024,19:21,Ewallet,590.64,5,29.532,5.9,21.969991,96.099072,03-2024
776-17-7898,A,Yangon,Member,Male,Sports and travel,86.31,10,43.155,906.255,1/15/2024,16:19,Cash,863.1,5,43.155,4.5,16.8669,96.150139,01-2024
283-26-5248,C,Naypyitaw,Normal,Female,Fashion accessories,40.93,4,8.186,171.906,3/5/2024,10:40,Credit card,163.72,5,8.186,5.8,19.066879,96.115449,03-2024
381-94-3926,B,Mandalay,Normal,Male,Electronic accessories,16.74,6,5.031,105.651,2/8/2024,15:31,Cash,100.62,5,5.031,6.6,21.971357,96.08834,02-2024
354-25-5821,B,Mandalay,Member,Female,Sports and travel,76.63,9,34.4835,723.6535,3/25/2024,18:30,Ewallet,689.17,5,34.4835,8.7,21.964815,96.097796,03-2024
132-32-9879,B,Mandalay,Normal,Male,Food and beverages,54.89,3,8.2335,172.9035,1/25/2024,19:09,Ewallet,164.67,5,8.2335,7.2,21.964948,96.083072,01-2024
519-56-6058,A,Yangon,Normal,Female,Home and lifestyle,40.4,2,4.04,84.84,2/24/2024,18:10,Credit card,80.8,5,4.04,5.9,16.866146,96.163857,02-2024
